,exp_id,word,word_understand,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff
331,590,Canada's,1,4,8,3334,3334.0,416.75,0,0,0
332,590,emergency,1,3,3,940,313.3333333333333,104.44444444444444,-2394,-5,-1
333,590,preparedness,0,3,5,1676,558.6666666666666,139.66666666666666,736,2,0
334,590,minister,1,0,0,0,0.0,0.0,-1676,-5,-3
335,590,Bill,1,0,0,0,0.0,0.0,0,0,0
336,590,Blair,1,0,0,0,0.0,0.0,0,0,0
337,590,said,1,1,1,209,209.0,52.25,209,1,1
338,590,it,1,1,2,867,867.0,433.5,658,1,0
339,590,will,1,1,3,1707,1707.0,426.75,840,1,0
340,590,take,1,0,0,0,0.0,0.0,-1707,-3,-1
341,590,several,1,0,0,0,0.0,0.0,0,0,0
342,590,months,1,1,2,1029,1029.0,171.5,1029,2,1
343,590,to,1,1,1,351,351.0,175.5,-678,-1,0
344,590,restore,1,0,0,0,0.0,0.0,-351,-1,-1
345,590,some,1,0,0,0,0.0,0.0,0,0,0
346,590,of,1,1,1,606,606.0,303.0,606,1,1
347,590,the,1,0,0,0,0.0,0.0,-606,-1,-1
348,590,damage,1,0,0,0,0.0,0.0,0,0,0
349,590,inflicted,1,1,2,1048,349.3333333333333,116.44444444444444,1048,2,1
350,590,by,1,0,0,0,0.0,0.0,-1048,-2,-1
351,590,Tropical,1,1,1,232,77.33333333333333,29.0,232,1,1
352,590,Storm,1,1,1,279,279.0,55.8,47,0,0
353,590,Fiona,1,1,1,233,233.0,46.6,-46,0,0
354,590,The,1,1,1,364,364.0,121.33333333333331,131,0,0
355,590,storm,1,1,1,269,269.0,53.8,-95,0,0
356,590,lashed,0,2,5,1543,1543.0,257.1666666666667,1274,4,1
357,590,the,1,0,0,0,0.0,0.0,-1543,-5,-2
358,590,Atlantic,1,1,2,1266,633.0,158.25,1266,2,1
359,590,coast,1,1,1,535,535.0,107.0,-731,-1,0
360,590,of,1,1,1,417,417.0,208.5,-118,0,0
361,590,Canada,1,1,1,226,113.0,37.66666666666666,-191,0,0
362,590,at,1,1,1,203,203.0,101.5,-23,0,0
363,590,the,1,0,0,0,0.0,0.0,-203,-1,-1
